customer_id_mock,customer_segment,top_5_components
"DEMO-V3-011","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-012","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-013","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-014","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-015","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-016","Coffee Stamps Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""coffee_stamps"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-017","Coffee Stamps Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""coffee_stamps"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-018","Coffee Stamps Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""coffee_stamps"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-019","Coffee Stamps Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""coffee_stamps"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-020","Coffee Stamps Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""coffee_stamps"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-021","Credit Card Maximisers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-022","Credit Card Maximisers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-023","Credit Card Maximisers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-024","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-025","Credit Card Maximisers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-026","New / Exploring Members","[{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-027","New / Exploring Members","[{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-028","New / Exploring Members","[{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-029","New / Exploring Members","[{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-030","New / Exploring Members","[{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-031","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-032","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-033","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-034","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-035","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-036","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-037","Prize Draw Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-038","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-039","Prize Draw Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-040","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-041","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-042","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-043","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-044","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-045","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-046","Young Family Members","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-047","Young Family Members","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-048","Young Family Members","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-049","Young Family Members","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V3-050","Young Family Members","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
