customer_id_mock,customer_segment,top_5_components
"DEMO-V1-013","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-014","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-015","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-016","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-017","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-018","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-019","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-020","Charity Champions","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-021","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-022","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-023","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-024","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-025","Credit Card Maximisers","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-026","New / Exploring Members","[{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-027","New / Exploring Members","[{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-028","New / Exploring Members","[{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-029","New / Exploring Members","[{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-030","New / Exploring Members","[{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-031","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-032","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-033","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-034","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-035","Offer Hunters","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-036","Partnership Deal Seekers","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-037","Partnership Deal Seekers","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-038","Partnership Deal Seekers","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-039","Partnership Deal Seekers","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-040","Partnership Deal Seekers","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""partnership_offers"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-041","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-042","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-043","Prize Draw Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-044","Prize Draw Enthusiasts","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-045","Prize Draw Enthusiasts","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-046","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-047","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-048","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-049","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-050","Promo-Responsive Browsers","[{""hub_component"":""sparks_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-051","Young Family Members","[{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-052","Young Family Members","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-053","Young Family Members","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-054","Young Family Members","[{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-055","Young Family Members","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""baby_club"",""rank"":1,""score"":0,""source"":""illustrative""}]"
